Highest Charting Position,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence
1,Beggin',"48,633,449",Måneskin,3377762,"['indie rock italiano', 'italian pop']",100,0.714,0.8,-4.808,0.0504,0.127,0.359,0.589
2,STAY (with Justin Bieber),"47,248,719",The Kid LAROI,2230022,['australian hip hop'],99,0.591,0.764,-5.484,0.0483,0.0383,0.103,0.478
1,good 4 u,"40,162,559",Olivia Rodrigo,6266514,['pop'],99,0.563,0.664,-5.044,0.154,0.335,0.0849,0.688
3,Bad Habits,"37,799,456",Ed Sheeran,83293380,"['pop', 'uk pop']",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,0.591
5,INDUSTRY BABY (feat. Jack Harlow),"33,948,454",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",96,0.736,0.704,-7.409,0.0615,0.0203,0.0501,0.894
1,MONTERO (Call Me By Your Name),"30,071,134",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",97,0.61,0.508,-6.682,0.152,0.297,0.384,0.758
3,Kiss Me More (feat. SZA),"29,356,736",Doja Cat,8640063,"['dance pop', 'pop']",94,0.762,0.701,-3.541,0.0286,0.235,0.123,0.742
2,Todo De Ti,"26,951,613",Rauw Alejandro,6080597,"['puerto rican pop', 'trap latino']",95,0.78,0.718,-3.605,0.0506,0.31,0.0932,0.342
3,Yonaguni,"25,030,128",Bad Bunny,36142273,"['latin', 'reggaeton', 'trap latino']",96,0.644,0.648,-4.601,0.118,0.276,0.135,0.44
8,I WANNA BE YOUR SLAVE,"24,551,591",Måneskin,3377762,"['indie rock italiano', 'italian pop']",95,0.75,0.608,-4.008,0.0387,0.00165,0.178,0.958
4,Levitating (feat. DaBaby),"23,518,010",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']",89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,0.915
9,Qué Más Pues?,"22,405,111","J Balvin, Maria Becerra",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",95,0.891,0.819,-3.964,0.106,0.0261,0.173,0.768
5,Permission to Dance,"22,062,812",BTS,37106176,"['k-pop', 'k-pop boy group']",95,0.702,0.741,-5.33,0.0427,0.00544,0.337,0.646
1,Peaches (feat. Daniel Caesar & Giveon),"20,294,457",Justin Bieber,48504126,"['canadian pop', 'pop', 'post-teen pop']",94,0.677,0.696,-6.181,0.119,0.321,0.42,0.464
2,Butter,"19,985,713",BTS,37106176,"['k-pop', 'k-pop boy group']",95,0.759,0.459,-5.187,0.0948,0.00323,0.0906,0.695
7,traitor,"19,480,679",Olivia Rodrigo,6266514,['pop'],94,0.38,0.339,-7.885,0.0338,0.691,0.12,0.0849
3,deja vu,"18,571,755",Olivia Rodrigo,6266514,['pop'],93,0.442,0.612,-7.222,0.112,0.584,0.37,0.178
5,Save Your Tears (with Ariana Grande) (Remix),"18,053,141",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,0.593
14,AM Remix,"17,617,965","Nio Garcia, J Balvin, Bad Bunny",2123734,"['latin', 'reggaeton', 'trap latino']",93,0.743,0.655,-5.015,0.159,0.114,0.0764,0.785
20,Need To Know,"16,908,917",Doja Cat,8640063,"['dance pop', 'pop']",90,0.664,0.609,-6.509,0.0707,0.304,0.0926,0.194
19,Volando - Remix,"16,606,925","Mora, Bad Bunny, Sech",151486,"['reggaeton', 'trap latino']",91,0.659,0.688,-4.649,0.0673,0.207,0.113,0.632
22,Ain't Shit,"16,126,897",Doja Cat,8640063,"['dance pop', 'pop']",90,0.855,0.488,-4.601,0.208,0.506,0.347,0.619
1,drivers license,"15,684,978",Olivia Rodrigo,6266514,['pop'],92,0.561,0.431,-8.81,0.0578,0.768,0.106,0.137
24,Heat Waves,"15,089,184",Glass Animals,1890510,"['gauze pop', 'indietronica', 'shiver pop']",85,0.761,0.525,-6.9,0.0944,0.44,0.0921,0.531
1,Blinding Lights,"15,011,809",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",92,0.514,0.73,-5.934,0.0598,0.00146,0.0897,0.334
12,happier,"14,849,078",Olivia Rodrigo,6266514,['pop'],92,0.395,0.443,-9.72,0.133,0.765,0.0839,0.338
27,Pepas,"14,809,458",Farruko,10502148,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",92,0.762,0.766,-3.955,0.0343,0.00776,0.128,0.442
18,Motley Crew,"14,329,162",Post Malone,33651775,"['dfw rap', 'melodic rap', 'rap']",90,0.797,0.631,-3.818,0.0786,0.0904,0.0998,0.288
15,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"14,273,637","Riton, Nightcrawlers",83689,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",92,0.824,0.862,-3.424,0.126,0.0076,0.303,0.801
3,Astronaut In The Ocean,"14,174,752",Masked Wolf,365975,['australian hip hop'],89,0.778,0.695,-6.865,0.0913,0.175,0.15,0.472
5,Leave The Door Open,"13,963,568","Bruno Mars, Anderson .Paak, Silk Sonic",32574754,"['dance pop', 'pop', 'post-teen pop']",92,0.586,0.616,-7.964,0.0324,0.182,0.0927,0.719
32,Don't Go Yet,"13,205,250",Camila Cabello,22683756,"['dance pop', 'electropop', 'pop', 'post-teen pop']",88,0.666,0.796,-6.967,0.103,0.0492,0.0442,0.61
11,favorite crime,"12,818,935",Olivia Rodrigo,6266514,['pop'],91,0.369,0.272,-10.497,0.0364,0.866,0.147,0.218
10,Pareja Del Año,"12,572,307","Sebastian Yatra, Myke Towers",16216789,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",91,0.715,0.622,-5.102,0.046,0.163,0.0948,0.808
4,Watermelon Sugar,"11,996,689",Harry Styles,16112621,"['pop', 'post-teen pop']",90,0.548,0.816,-4.209,0.0465,0.122,0.335,0.557
36,NOT SOBER (feat. Polo G & Stunna Gambino),"11,869,336",The Kid LAROI, , , , , , , , , , 
3,RAPSTAR,"11,683,383",Polo G,4840346,['chicago rap'],89,0.789,0.536,-6.862,0.242,0.41,0.129,0.437
15,You Right,"11,629,418","Doja Cat, The Weeknd",8640063,"['dance pop', 'pop']",89,0.828,0.621,-6.414,0.0565,0.0164,0.0845,0.436
39,911 - Remix,"11,553,846","Sech, Jhay Cortez",8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",89,0.816,0.71,-3.728,0.0398,0.165,0.292,0.784
1,DÁKITI,"11,524,288","Bad Bunny, Jhay Cortez",36142273,"['latin', 'reggaeton', 'trap latino']",86,0.731,0.573,-10.059,0.0544,0.401,0.113,0.145
41,Miénteme,"11,477,024","TINI, Maria Becerra",2936204,"['latin pop', 'pop argentino']",90,0.85,0.541,-4.522,0.0674,0.161,0.286,0.916
17,"jealousy, jealousy","11,287,301",Olivia Rodrigo,6266514,['pop'],90,0.695,0.575,-6.334,0.116,0.198,0.0614,0.699
33,Poblado - Remix,"11,283,626","J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",89,0.813,0.809,-5.382,0.0846,0.102,0.377,0.646
2,Dynamite,"11,196,819",BTS,37106176,"['k-pop', 'k-pop boy group']",89,0.746,0.765,-4.41,0.0993,0.0112,0.0936,0.737
9,The Business,"10,739,770",Tiësto,5785065,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",90,0.798,0.62,-7.079,0.232,0.414,0.112,0.235
46,Heartbreak Anthem (with David Guetta & Little Mix),"10,315,460",Galantis,3120157,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",89,0.595,0.784,-4.878,0.102,0.216,0.0608,0.479
1,Mood (feat. iann dior),"10,222,056",24kGoldn,1274433,['cali rap'],89,0.701,0.716,-3.671,0.0361,0.174,0.324,0.732
48,Entre Nosotros,"10,215,216","Tiago PZK, LIT killah",375865,['trap argentino'],89,0.729,0.513,-6.345,0.0455,0.494,0.137,0.789
29,Fiel - Remix,"10,032,746","Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",89,0.839,0.711,-4.733,0.0473,0.398,0.118,0.573
20,Build a Bitch,"9,841,998",Bella Poarch,389076,[],89,0.855,0.463,-7.454,0.0367,0.217,0.347,0.866
19,"Nicky Jam: Bzrp Music Sessions, Vol. 41","9,799,701","Bizarrap, Nicky Jam",3126961,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",88,0.627,0.849,-3.167,0.153,0.0913,0.145,0.818
52,Tiroteo - Remix,"9,781,153","Marc Seguí, Rauw Alejandro, Pol Granch",45362,[],88,0.75,0.522,-7.018,0.0293,0.282,0.0743,0.601
19,NDA,"9,635,619",Billie Eilish,47014200,"['electropop', 'pop']",84,0.765,0.373,-9.921,0.0713,0.341,0.112,0.554
40,Rasputin,"9,600,707","Majestic, Boney M.",32178,"['house', 'pop dance', 'uk dance']",49,0.83,0.839,-6.985,0.0699,0.00201,0.0353,0.59
52,Leave Before You Love Me (with Jonas Brothers),"9,428,494",Marshmello,31541310,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",89,0.721,0.738,-4.77,0.0403,0.00226,0.118,0.637
56,Freaks,"9,319,465",Surf Curse,495226,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",89,0.345,0.941,-9.918,0.0466,3.84E-05,0.0511,0.407
57,Meu Pedaço de Pecado,"9,206,366",João Gomes,409173,[],83,0.668,0.887,-4.404,0.0564,0.369,0.257,0.907
31,2/Catorce,"9,086,979","Rauw Alejandro, Mr. Naisgai",6080597,"['puerto rican pop', 'trap latino']",87,0.54,0.455,-5.988,0.224,0.675,0.12,0.432
34,Beautiful Mistakes (feat. Megan Thee Stallion),"9,048,966",Maroon 5,32262679,"['pop', 'pop rock']",88,0.713,0.676,-5.483,0.027,0.0377,0.154,0.721
31,Run,"9,017,356",OneRepublic,12169108,"['dance pop', 'piano rock', 'pop', 'pop rock']",88,0.682,0.72,-8.173,0.0381,0.326,0.148,0.673
46,Thot Shit,"8,977,336",Megan Thee Stallion,4787261,"['houston rap', 'pop', 'pop rap', 'trap queen']",88,0.95,0.693,-3.424,0.0898,0.0133,0.173,0.891
26,Your Love (9PM),"8,935,418","ATB, Topic, A7S",291777,"['german dance', 'german techno', 'german trance', 'trance']",88,0.669,0.784,-5.603,0.112,0.194,0.115,0.517
9,brutal,"8,881,356",Olivia Rodrigo,6266514,['pop'],89,0.672,0.526,-6.446,0.0599,0.0311,0.28,0.28
2,Save Your Tears,"8,843,110",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,0.593
8,Heartbreak Anniversary,"8,832,945",Giveon,1398563,"['pop', 'r&b']",87,0.449,0.465,-8.964,0.0791,0.524,0.303,0.543
2,Don't Start Now,"8,821,971",Dua Lipa,1250353,[],0,0.793,0.793,-4.521,0.083,0.0123,0.0951,0.679
33,Dinero,"8,564,775",Trinidad Cardona,116817,[],87,0.708,0.782,-4.687,0.0674,0.00772,0.107,0.484
35,Sweater Weather,"8,564,017",The Neighbourhood,6662605,"['modern alternative rock', 'modern rock', 'pop']",87,0.612,0.807,-2.81,0.0336,0.0495,0.101,0.398
69,Sobrio,"8,514,480",Maluma,26769304,"['latin', 'reggaeton', 'reggaeton colombiano']",87,0.762,0.77,-2.758,0.223,0.138,0.15,0.631
12,Someone You Loved,"8,490,162",Lewis Capaldi,8384096,"['pop', 'uk pop']",86,0.501,0.405,-5.679,0.0319,0.751,0.105,0.446
71,Over The Top (feat. Drake),"8,269,753",Smiley,26131,"['canadian hip hop', 'toronto rap']",83,0.833,0.498,-5.196,0.117,0.0493,0.119,0.259
72,2055,"8,133,401",Sleepy Hallow,408696,"['brooklyn drill', 'nyc rap']",85,0.829,0.512,-5.865,0.187,0.492,0.12,0.638
33,EL MAKINON,"8,102,107","KAROL G, Mariah Angeliq",17775316,"['latin', 'reggaeton', 'reggaeton colombiano']",87,0.635,0.706,-3.224,0.125,0.256,0.108,0.443
74,Loco,"8,093,413","Justin Quiles, Chimbala, Zion & Lennox",2895789,"['latin', 'reggaeton', 'trap latino']",87,0.77,0.899,-2.981,0.0494,0.222,0.0894,0.851
75,Love Tonight - Edit,"8,006,336",Shouse,27116,['aussietronica'],87,0.727,0.681,-7.114,0.0265,0.00214,0.0861,0.448
12,ZITTI E BUONI,"7,975,148",Måneskin,3377762,"['indie rock italiano', 'italian pop']",86,0.625,0.939,-3.115,0.0669,0.00138,0.424,0.644
2,telepatía,"7,912,399",Kali Uchis,1999954,"['colombian pop', 'pop']",88,0.653,0.524,-9.016,0.0502,0.112,0.203,0.553
9,Botella Tras Botella,"7,735,223","Gera MX, Christian Nodal",2043294,"['mexican hip hop', 'rap conciencia']",87,0.727,0.546,-4.572,0.0437,0.656,0.122,0.69
7,Fiel,"7,717,211","Los Legendarios, Wisin, Jhay Cortez",31488,"['reggaeton', 'trap latino']",88,0.849,0.701,-4.407,0.06,0.407,0.112,0.505
1,Dance Monkey,"7,687,058",Tones And I,2819593,"['australian pop', 'pop']",83,0.824,0.588,-6.4,0.0924,0.692,0.149,0.513
7,WITHOUT YOU,"7,642,130",The Kid LAROI,2230022,['australian hip hop'],87,0.662,0.413,-7.357,0.0299,0.213,0.134,0.467
6,Wants and Needs (feat. Lil Baby),"7,637,626",Drake,56308172,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",87,0.578,0.449,-6.349,0.286,0.0618,0.119,0.1
83,Bezos I,"7,516,291",Bo Burnham,1042079,['comic'],84,0.694,0.948,-5.307,0.0361,0.00936,0.139,0.705
76,Love Again,"7,465,445",Dua Lipa,1250353,[],0,0.659,0.667,-4.668,0.0339,0.00173,0.1,0.468
32,Goosebumps - Remix,"7,452,633","Travis Scott, HVME",17719446,"['rap', 'slap house']",87,0.841,0.593,-7.846,0.0379,0.418,0.124,0.808
11,Head & Heart (feat. MNEK),"7,434,252",Joel Corry,207547,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",87,0.734,0.874,-3.158,0.0662,0.168,0.0489,0.905
42,BED,"7,383,369","Joel Corry, RAYE, David Guetta",207547,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",87,0.671,0.782,-4.593,0.0341,0.0142,0.333,0.618
78,Iko Iko (My Bestie),"7,381,585","Justin Wellington, Small Jam",18228,"['melanesian pop', 'pacific islands pop', 'png pop']",87,0.862,0.753,-5.356,0.0625,0.131,0.077,0.827
89,Better Believe,"7,365,053","Belly, The Weeknd, Young Thug",203972,"['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul', 'underground hip hop']",80,0.797,0.573,-7.85,0.319,0.159,0.144,0.445
23,Arcade,"7,353,795",Duncan Laurence,287361,['dutch pop'],84,0.45,0.329,-12.603,0.0441,0.818,0.135,0.266
55,512,"7,336,542","Mora, Jhay Cortez",151486,"['reggaeton', 'trap latino']",87,0.818,0.673,-7.542,0.148,0.348,0.172,0.695
1,positions,"7,244,853",Ariana Grande,67158068,"['dance pop', 'pop', 'post-teen pop']",86,0.737,0.802,-4.771,0.0878,0.468,0.0931,0.682
6,Circles,"7,156,162",Post Malone,33651775,"['dfw rap', 'melodic rap', 'rap']",87,0.695,0.762,-3.497,0.0395,0.192,0.0863,0.553
94,Blaues Licht,"7,084,292","RAF Camora, Bonez MC",1329531,['german hip hop'],78,0.819,0.835,-4.899,0.102,0.398,0.252,0.703
75,Ram Pam Pam,"7,064,003","Natti Natasha, Becky G",6341942,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",86,0.908,0.813,-2.749,0.0777,0.305,0.278,0.924
96,In Da Getto,"6,984,262","J Balvin, Skrillex",1250353,[],2,0.915,0.72,-3.126,0.0459,0.025,0.0942,0.631
97,Woman,"6,858,466",Doja Cat,8640063,"['dance pop', 'pop']",86,0.824,0.764,-4.175,0.0854,0.0888,0.117,0.881
60,t r a n s p a r e n t s o u l feat. Travis Barker,"6,853,994",WILLOW,1521837,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",85,0.39,0.83,-5.201,0.0563,0.0021,0.156,0.191
99,Clash (feat. Stormzy),"6,825,463",Dave,1427540,['uk hip hop'],79,0.871,0.519,-6.549,0.258,0.313,0.0869,0.532
22,Before You Go,"6,813,800",Lewis Capaldi,8384096,"['pop', 'uk pop']",83,0.459,0.575,-4.858,0.0573,0.604,0.0885,0.183
52,Levitating,"6,799,831",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']",89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,0.915
85,Reckless,"6,711,375",Madison Beer,3363988,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",86,0.386,0.426,-6.642,0.0363,0.807,0.14,0.261
103,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","6,709,106",BANDIDO,16074,[],85,0.769,0.812,-2.088,0.0825,0.281,0.0781,0.926
88,Believer,"6,699,895",Imagine Dragons,35285425,"['modern rock', 'pop', 'rock']",86,0.776,0.78,-4.374,0.128,0.0622,0.081,0.666
2,"Lemonade (feat. Gunna, Don Toliver & NAV)","6,697,067",Internet Money,411579,"['pop rap', 'rap', 'trap']",82,0.799,0.66,-6.153,0.079,0.256,0.111,0.471
45,Talking to the Moon,"6,660,319",Bruno Mars,32574754,"['dance pop', 'pop', 'post-teen pop']",83,0.523,0.606,-4.754,0.0301,0.512,0.106,0.065
3,Roses - Imanbek Remix,"6,653,690",SAINt JHN,742692,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",72,0.769,0.719,-5.472,0.0474,0.0143,0.359,0.863
59,Sal y Perrea,"6,635,076",Sech,8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",86,0.786,0.899,-0.515,0.127,0.192,0.299,0.813
109,Fulanito,"6,614,072","Becky G, El Alfa",10356559,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",86,0.93,0.837,-4.632,0.187,0.256,0.239,0.821
110,París,"6,584,896",Ingratax,56699,[],86,0.57,0.455,-5.748,0.0996,0.441,0.0654,0.399
46,lovely (with Khalid),"6,569,547",Billie Eilish,47014200,"['electropop', 'pop']",86,0.351,0.296,-10.109,0.0333,0.934,0.095,0.12
24,Sunflower - Spider-Man: Into the Spider-Verse,"6,546,948","Post Malone, Swae Lee",1250353,[],82,0.76,0.479,-5.574,0.0466,0.556,0.0703,0.913
113,double take,"6,539,852",dhruv,73211,"['chill r&b', 'nyc pop']",86,0.663,0.434,-11.177,0.0648,0.828,0.249,0.225
9,Streets,"6,502,302",Doja Cat,8640063,"['dance pop', 'pop']",86,0.749,0.463,-8.433,0.0842,0.21,0.338,0.189
80,By Your Side (feat. Tom Grennan),"6,488,622",Calvin Harris,21942793,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",85,0.733,0.96,-3.597,0.0295,0.0514,0.287,0.811
116,MORENA,"6,469,500",Luan Santana,5420471,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",85,0.526,0.731,-4.662,0.0887,0.18,0.0891,0.476
80,Shape of You,"6,452,492",Ed Sheeran,83293380,"['pop', 'uk pop']",85,0.825,0.652,-3.183,0.0802,0.581,0.0931,0.931
9,Señorita,"6,317,487","Shawn Mendes, Camila Cabello",33879560,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",82,0.759,0.54,-6.039,0.0287,0.037,0.0945,0.75
5,Hold On,"6,300,416",Justin Bieber,1250353,[],0,0.658,0.634,-5.797,0.0413,0.0106,0.132,0.29
99,Perfect,"6,278,765",Ed Sheeran,83293380,"['pop', 'uk pop']",86,0.599,0.448,-6.312,0.0232,0.163,0.106,0.168
80,2:50 Remix,"6,244,011","MYA, TINI, Duki",282045,['latin pop'],85,0.818,0.812,-4.425,0.0475,0.112,0.234,0.844
2,LA NOCHE DE ANOCHE,"6,242,863","Bad Bunny, ROSALÍA",36142273,"['latin', 'reggaeton', 'trap latino']",86,0.856,0.618,-4.892,0.286,0.0303,0.0866,0.391
1,ROCKSTAR (feat. Roddy Ricch),"6,180,056",DaBaby,7593046,"['north carolina hip hop', 'rap']",86,0.746,0.69,-7.956,0.164,0.247,0.101,0.497
12,Heather,"6,164,795",Conan Gray,3794081,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",86,0.357,0.425,-7.301,0.0333,0.584,0.322,0.27
13,you broke me first,"6,152,121",Tate McRae,1647262,"['alt z', 'dance pop', 'pop', 'post-teen pop']",86,0.667,0.373,-9.389,0.05,0.785,0.0906,0.0823
126,The Nights,"6,136,340",Avicii,20270895,"['dance pop', 'edm', 'pop', 'pop dance']",85,0.527,0.835,-5.298,0.0433,0.0166,0.249,0.654
122,Riptide,"6,089,242",Vance Joy,2421254,"['folk-pop', 'modern rock', 'pop', 'pop rock']",78,0.484,0.731,-6.694,0.0379,0.431,0.151,0.51
128,Smells Like Teen Spirit,"6,065,267",Nirvana,13261089,"['grunge', 'permanent wave', 'rock']",77,0.502,0.912,-4.556,0.0564,2.55E-05,0.106,0.72
11,enough for you,"6,040,918",Olivia Rodrigo,6266514,['pop'],86,0.638,0.259,-10.706,0.0898,0.753,0.219,0.269
99,Daddy Issues,"6,014,443",The Neighbourhood,6662605,"['modern alternative rock', 'modern rock', 'pop']",85,0.588,0.521,-9.461,0.0329,0.0678,0.123,0.337
131,Aquelas Coisas,"6,012,839",João Gomes,409173,[],84,0.682,0.873,-4.163,0.0449,0.402,0.0946,0.964
19,Miss The Rage (feat. Playboi Carti),"5,952,490",Trippie Redd,6430522,"['melodic rap', 'rap', 'trap']",85,0.584,0.859,-5.616,0.121,0.0144,0.847,0.369
4,Memories,"5,928,329",Maroon 5,32262679,"['pop', 'pop rock']",85,0.775,0.327,-7.241,0.0557,0.841,0.0821,0.595
76,Another Love,"5,914,661",Tom Odell,1838616,['pop'],67,0.445,0.537,-8.532,0.04,0.695,0.0941,0.131
135,Here's Your Perfect,"5,912,784",Jamie Miller,64288,['pop soul'],85,0.558,0.454,-5.335,0.0551,0.499,0.146,0.424
108,Take Me To Church,"5,907,750",Hozier,4781906,"['irish singer-songwriter', 'modern rock', 'pop']",74,0.566,0.664,-5.303,0.0464,0.634,0.116,0.437
110,Little Bit of Love,"5,848,466",Tom Grennan,261225,"['modern rock', 'uk pop']",80,0.689,0.706,-4.48,0.0312,0.0833,0.105,0.623
138,Ficha Limpa,"5,847,975",Gusttavo Lima,12969190,"['sertanejo', 'sertanejo universitario']",85,0.774,0.732,-4.227,0.0308,0.108,0.243,0.734
14,Up,"5,845,156",Cardi B,17353707,"['dance pop', 'pop', 'pop rap', 'rap']",83,0.868,0.795,-6.044,0.269,0.0012,0.0461,0.819
2,Hawái,"5,769,714",Maluma,26769304,"['latin', 'reggaeton', 'reggaeton colombiano']",77,0.766,0.788,-3.128,0.312,0.105,0.142,0.609
141,New Normal,"5,768,653",Khalid,14187747,['pop'],79,0.39,0.534,-9.575,0.0709,0.0807,0.184,0.244
81,Bohemian Rhapsody - Remastered 2011,"5,756,583",Queen,35888760,"['classic rock', 'glam rock', 'rock']",74,0.392,0.402,-9.961,0.0536,0.288,0.243,0.228
5,Bandido,"5,734,402","Myke Towers, Juhn",6150675,['trap latino'],85,0.713,0.617,-4.637,0.0887,0.122,0.0962,0.682
25,Paradise (feat. Dermot Kennedy),"5,693,848",MEDUZA,441674,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",85,0.632,0.595,-7.644,0.0401,0.0689,0.209,0.435
13,goosebumps,"5,691,540",Travis Scott,17719446,"['rap', 'slap house']",87,0.841,0.593,-7.846,0.0379,0.418,0.124,0.808
90,Wasted Love (feat. Lagique),"5,690,260",Ofenbach,432581,"['edm', 'new french touch', 'pop dance', 'tropical house']",85,0.734,0.855,-4.578,0.135,0.0821,0.0901,0.54
100,KESI - Remix,"5,682,062","Camilo, Shawn Mendes",10561047,"['colombian pop', 'reggaeton colombiano']",83,0.871,0.815,-4.439,0.0477,0.127,0.094,0.823
59,Shallow,"5,672,480","Lady Gaga, Bradley Cooper",18572085,"['dance pop', 'pop', 'post-teen pop']",83,0.572,0.385,-6.362,0.0308,0.371,0.231,0.323
110,Tell Em,"5,668,576","Cochise, $NOT",159647,"['plugg', 'vapor trap', 'viral rap']",85,0.672,0.717,-7.476,0.226,0.103,0.398,0.473
103,"Não, Não Vou","5,652,272",Mari Fernandez,15889,[],84,0.631,0.861,-1.891,0.0424,0.427,0.215,0.822
147,Counting Stars,"5,647,568",OneRepublic,12169108,"['dance pop', 'piano rock', 'pop', 'pop rock']",74,0.664,0.705,-4.972,0.0382,0.0654,0.115,0.477
121,Yellow,"5,628,703",Coldplay,31151294,"['permanent wave', 'pop']",85,0.429,0.661,-7.227,0.0281,0.00239,0.234,0.285
153,Como Si No Importara,"5,627,257","Emilia, Duki",205590,[],83,0.843,0.534,-6.658,0.142,0.467,0.0984,0.528
154,Se For Amor,"5,618,268","João Gomes, Vitor Fernandes",409173,[],81,0.667,0.899,-4.402,0.0322,0.423,0.332,0.835
142,Wake Me Up,"5,607,285",Avicii,20270895,"['dance pop', 'edm', 'pop', 'pop dance']",84,0.532,0.783,-5.697,0.0523,0.0038,0.161,0.643
128,Baby Me Atende,"5,594,505","Matheus Fernandes, Dilsinho",77034,"['forro', 'sertanejo pop']",83,0.65,0.792,-3.825,0.0393,0.607,0.92,0.872
68,Ramenez la coupe à la maison,"5,576,844",Vegedream,1250353,[],0,0.808,0.66,-6.237,0.0395,0.0358,0.138,0.804
6,What You Know Bout Love,"5,570,735",Pop Smoke,6837946,['brooklyn drill'],85,0.709,0.548,-8.493,0.353,0.65,0.133,0.543
19,Runaway,"5,566,150",AURORA,1687399,"['art pop', 'norwegian pop']",77,0.521,0.277,-10.34,0.0356,0.634,0.103,0.13
121,Red Light Green Light,"5,493,760",DaBaby,7593046,"['north carolina hip hop', 'rap']",84,0.933,0.656,-5.85,0.322,0.129,0.161,0.934
120,Ball If I Want To,"5,478,055",DaBaby,7593046,"['north carolina hip hop', 'rap']",84,0.902,0.669,-5.049,0.457,0.161,0.0728,0.628
31,Lucid Dreams,"5,477,563",Juice WRLD,19085118,"['chicago rap', 'melodic rap']",85,0.511,0.566,-7.23,0.2,0.349,0.34,0.218
4,Calling My Phone,"5,467,753","Lil Tjay, 6LACK",3553442,"['brooklyn drill', 'melodic rap', 'nyc rap']",85,0.907,0.393,-7.636,0.0539,0.451,0.135,0.202
5,34+35,"5,453,159",Ariana Grande, , , , , , , , , , 
13,bad guy,"5,436,286",Billie Eilish,1250353,[],0,0.701,0.425,-10.965,0.375,0.328,0.1,0.562
59,Cover Me In Sunshine,"5,434,073","P!nk, Willow Sage Hart",11477164,"['dance pop', 'pop', 'post-teen pop']",83,0.476,0.594,-6.879,0.135,0.0599,0.0785,0.314
7,For The Night (feat. Lil Baby & DaBaby),"5,431,375",Pop Smoke,6837946,['brooklyn drill'],84,0.823,0.586,-6.606,0.2,0.114,0.193,0.347
13,"1 step forward, 3 steps back","5,420,003",Olivia Rodrigo,6266514,['pop'],85,0.473,0.203,-12.627,0.102,0.941,0.126,0.419
1,WAP (feat. Megan Thee Stallion),"5,386,268",Cardi B,17353707,"['dance pop', 'pop', 'pop rap', 'rap']",84,0.935,0.454,-7.509,0.375,0.0194,0.0824,0.357
