Highest Charting Position,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence
128,Tu Veneno,"6,007,541",J Balvin,29067437,"['latin', 'reggaeton', 'reggaeton colombiano']",76,0.664,0.659,-4.232,0.0873,0.0625,0.0874,0.797
49,Deserve You,"5,837,372",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",69,0.677,0.633,-7.831,0.0771,0.0314,0.112,0.409
44,2 Much,"5,794,583",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",70,0.583,0.444,-8.601,0.0456,0.593,0.353,0.167
3,Tusa,"5,510,113","KAROL G, Nicki Minaj",17792779,"['latin', 'reggaeton', 'reggaeton colombiano']",80,0.803,0.715,-3.28,0.298,0.295,0.0574,0.574
34,Una Locura,"5,466,954","Ozuna, J Balvin, Chencho Corleone",29238936,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",81,0.714,0.761,-4.596,0.0427,0.139,0.241,0.906
61,Loved By You (feat. Burna Boy),"5,419,040",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",69,0.79,0.724,-6.972,0.0852,0.0696,0.113,0.642
181,Girls Like Us,"5,410,730",Zoe Wees,203555,['german pop'],78,0.444,0.648,-4.955,0.0476,0.288,0.059,0.171
17,Lemon Pepper Freestyle (feat. Rick Ross),"5,365,747",Drake,56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",76,0.77,0.637,-5.53,0.345,0.103,0.171,0.431
97,Esquema Preferido,"5,356,696","DJ Ivis, Tarcísio do Acordeon",342930,['piseiro'],73,0.676,0.823,-4.386,0.102,0.242,0.0773,0.907
105,Love Not War (The Tampa Beat),"5,326,719","Jason Derulo, Nuka",9778632,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",79,0.738,0.85,-3.049,0.0642,0.105,0.23,0.865
57,Die For You (feat. Dominic Fike),"5,323,412",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",67,0.728,0.629,-6.629,0.0318,0.00196,0.0847,0.71
64,Starboy,"5,302,285","The Weeknd, Daft Punk",35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",83,0.679,0.587,-7.015,0.276,0.141,0.137,0.486
22,La Tóxica,"5,255,393",Farruko,10510156,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",78,0.659,0.701,-4.107,0.164,0.0882,0.0866,0.623
181,Coração Na Cama - Ao Vivo,"5,211,351",Hugo & Guilherme,435936,['sertanejo pop'],77,0.764,0.794,-4.096,0.0589,0.663,0.34,0.721
60,Love You Different (feat. BEAM),"10,024,729",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",66,0.759,0.584,-6.655,0.06,0.0652,0.16,0.374
74,Somebody,"8,912,458",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",67,0.714,0.833,-5.239,0.0259,0.00249,0.298,0.663
152,White Dress,"5,796,978",Lana Del Rey,13697048,"['art pop', 'pop']",65,0.493,0.263,-12.805,0.0351,0.926,0.0879,0.158
82,Polvo,"5,528,508","Nicky Jam, Myke Towers",14831925,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",76,0.763,0.621,-6.169,0.066,0.0105,0.106,0.582
138,Chemtrails Over The Country Club,"5,418,816",Lana Del Rey,13697048,"['art pop', 'pop']",73,0.334,0.276,-13.125,0.0643,0.877,0.113,0.429
37,Parce (feat. Justin Quiles),"5,312,876","Maluma, Lenny Tavárez",26769304,"['latin', 'reggaeton', 'reggaeton colombiano']",78,0.691,0.739,-3.09,0.229,0.422,0.11,0.884
40,Ropa Cara,"5,249,427",Camilo,10580764,"['colombian pop', 'reggaeton colombiano']",73,0.813,0.526,-4.787,0.125,0.105,0.11,0.608
25,Vida de Rico,"5,189,822",Camilo,10580764,"['colombian pop', 'reggaeton colombiano']",79,0.824,0.457,-5.428,0.0543,0.167,0.041,0.95
182,Devil Eyes,"5,098,581",Hippie Sabotage,713486,"['edm', 'electronic trap']",80,0.391,0.396,-8.621,0.189,0.702,0.315,0.199
141,Ponte Pa' Mi,"5,082,870",Justin Quiles,2897862,"['latin', 'reggaeton', 'trap latino']",76,0.878,0.713,-4.566,0.0948,0.0581,0.0822,0.615
109,Dámelo To’ (feat. Myke Towers),"6,426,522",Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",64,0.787,0.641,-7.376,0.315,0.101,0.07,0.437
121,Patience (feat. YUNGBLUD & Polo G),"6,155,698",KSI,2010879,['uk hip hop'],71,0.616,0.741,-4.272,0.0426,0.00251,0.307,0.431
